crop,t_ideal_lo,t_ideal_hi,t_tol_lo,t_tol_hi,shade_ideal_lo,shade_ideal_hi,shade_tol_lo,shade_tol_hi,rh_ideal_lo,rh_ideal_hi,rh_tol_lo,rh_tol_hi,wind_ideal_max,wind_tol_max,rainfall_lo_mm,rainfall_hi_mm,t_conf,shade_conf,rh_conf,wind_conf,cur_t_ideal_lo,cur_t_ideal_hi,cur_t_tol_lo,cur_t_tol_hi,cur_shade_ideal_lo,cur_shade_ideal_hi,cur_shade_tol_lo,cur_shade_tol_hi,cur_rh_ideal_lo,cur_rh_ideal_hi,cur_rh_tol_lo,cur_rh_tol_hi,cur_wind_ideal_max,cur_wind_tol_max,changed_fields,sources
Vanilla,21,32,15,35,30,50,20,70,75,90,55,100,1.5,3.0,1500,3000,MED,HIGH,LOW,HIGH,20,30,15,33,50,60,35,78,70,90,55,100,1.5,3.0,"t_ideal_lo t_tol_hi shade_ideal_lo shade_ideal_hi shade_tol_lo shade_tol_hi rh_ideal_lo","FAO Post-harvest Compendium – Vanilla (openknowledge.fao.org, 2009): ideal 21–32°C; RH ≥80%; rainfall ≥1500mm. ECOCROP (ecocrop.apps.fao.org, accessed 2026): tol_lo 15°C; tol_hi 35°C. Agrownet citing ECOCROP (agrownet.com/vanilla-climate): RH 60–80%; rainfall 1500–3000mm. Agroforestry shade practice (CIRAD/ICRAF lit.): 30–50% shade cloth optimal for commercial vanilla; 50–60% used in very open exposed sites only."
Cocoa,21,28,15,36,30,50,10,65,70,90,55,100,1.5,3.0,1140,2000,MED,HIGH,LOW,HIGH,21,32,18,35,25,50,10,65,70,90,55,100,1.5,3.0,"t_ideal_hi t_tol_lo t_tol_hi shade_ideal_lo","ResearchGate/Agronomy for Sustainable Development (Läderach et al. 2013): optimal annual mean 21–28.5°C; tol max 36°C; min 15°C. FAO ECOCROP: rainfall 1140–2000mm; dry season <3 months. IIHR/PFAF (pfaf.org): grows 18–32°C but fruit quality peaks 21–28°C. Shade: Cabruca agroforestry review (Springer 2022): 30–50% shade optimal for mature cacao; young trees 50–70%."
Black pepper,23,32,10,40,20,50,5,70,60,90,50,100,2.5,4.5,1250,2500,MED,HIGH,LOW,HIGH,23,32,18,35,20,50,5,70,70,90,55,100,2.5,4.5,"t_tol_lo t_tol_hi rh_ideal_lo rh_tol_lo","TNAU Agritech Portal – Black Pepper (agritech.tnau.ac.in, 2026): requires heavy rainfall 150–250cm; high humidity; warm climate; tolerates 10–40°C. Spices Board Kerala / IISR: optimal 23–32°C; RH >60–70% for vine development; shade lover but flowering/fruiting impaired by >70% shade. KSSDB Package of Practices (Karnataka): tol_lo 10°C."
Nutmeg,25,35,20,38,25,50,10,65,70,90,55,100,1.5,3.0,1500,3000,MED,MED,LOW,HIGH,25,35,20,38,40,50,20,72,70,90,55,100,1.5,3.0,"shade_ideal_lo shade_ideal_hi shade_tol_lo shade_tol_hi","KSSDB Package of Practices – Nutmeg (kssdb.karnataka.gov.in): 25–35°C; warm humid; rainfall 150–250cm. IndiaAgroNet / Agrifarming (citing ICAR/Spices Board): 20–30°C alt range cited for cooler sites; RH 70–90%; rainfall 1500–3000mm. Shade: young trees need 50–60%, mature trees tolerate 25–50%; practice in Kerala agroforestry sets intercrop shade at 25–50%."
Ginger,22,30,13,35,25,50,0,70,70,80,55,100,4.0,6.5,1500,2000,MED,HIGH,LOW,HIGH,20,30,16,35,25,50,0,70,70,90,55,100,4.0,6.5,"t_ideal_lo t_tol_lo rh_ideal_hi","ICAR-CCARI (ccari.res.in/ginger): ideal 25–30°C; below 13°C dormancy; above 32°C leaf scorch. IISR Ginger guidelines (epubs.icar.org.in, 2022): rainfall ≥1500mm over 8–10 months; warm and humid. Agrownet citing IISR: RH 70–80% ideal. Subsistence Farming India (subsistencefarming.in): tol_lo ~13°C cold threshold."
Pomegranate,25,35,18,40,0,10,0,35,40,65,30,90,4.0,7.0,400,1500,MED,HIGH,LOW,HIGH,25,35,18,40,0,20,0,45,40,85,30,95,4.0,7.0,"shade_ideal_hi shade_tol_hi rh_ideal_hi rh_tol_hi","Agriculture.Institute – Pomegranate (agriculture.institute/climate-requirements): semi-arid fruit; prefers full sun; shade >15% reduces fruit set. PictureThisAI/RAD-Punica granatum (citing ECOCROP): tol range 5–38°C; optimal 25–35°C; rainfall 400–1500mm. NCBIPMc Pomegranate fruit quality study (2021, PMC8417319): optimal development in hot dry climate; high RH promotes fruit cracking/disease so RH ideal ≤65%. ClimaControlJournal (2024): prefers semi-arid, drought-tolerant."
Guava,23,28,15,42,0,15,0,40,50,70,35,90,4.0,7.0,1000,2000,MED,HIGH,LOW,HIGH,23,30,15,38,0,25,0,50,50,85,35,95,4.0,7.0,"t_ideal_hi t_tol_hi shade_ideal_hi shade_tol_hi rh_ideal_hi rh_tol_hi","Agriculture.Institute – Guava climate requirements (agriculture.institute/climate-requirements-guava): optimal 23–28°C; high RH + heavy rain reduces fruit quality and promotes disease; dry atmosphere preferred for flowering/fruiting. NHB Guava (nhb.gov.in): tolerates 15–42°C. TNAU Agritech – Guava crop protection (agritech.tnau.ac.in/crop_protection/guava): adequate airflow essential; full sun crop."
Mango,24,27,18,38,0,10,0,35,45,75,30,92,3.0,6.0,750,2500,MED,HIGH,LOW,HIGH,24,30,18,38,0,20,0,45,45,80,30,92,3.0,6.0,"t_ideal_hi shade_ideal_hi shade_tol_hi rh_ideal_hi","TNAU Organic Mango PDF (agritech.tnau.ac.in/banking/pdf/Mango.pdf, 2026): ideal 24–27°C; rainfall 250–2500mm; high humidity/rain during flowering detrimental. EAGRI Mango lecture (eagri.org/HORT181/lec04): bright sunny days + moderate humidity during flowering ideal; higher temperature during fruit development gives better quality. ICAR PPQS IPM Mango (ppqs.gov.in, 2022): shade not recommended for commercial mango; full sun."
Grapes,20,32,12,38,0,15,0,35,40,65,25,80,3.0,6.0,500,900,MED,HIGH,LOW,HIGH,20,32,12,38,0,15,0,40,40,70,25,88,3.0,6.0,"rh_ideal_hi rh_tol_hi shade_tol_hi","TNAU Horticulture Crops Guide 2020 (agritech.tnau.ac.in/pdf/HORTICULTURE.pdf): suitable range 15–40°C; rainfall 500–900mm; prefers dry humid condition; cloudy/high RH/fog not suitable for flowering/fruit set. DrySRHU AP Winemaking guide: cool nights 15–18°C + warm days 28–32°C ideal for quality. MapMyCrop Grapes India: RH 40–65% preferred; excessive humidity promotes powdery/downy mildew."
Banana,22,32,15,38,0,30,0,55,75,90,55,98,3.0,5.0,1500,2500,MED,HIGH,LOW,HIGH,25,35,16,40,0,30,0,55,60,90,45,98,2.0,4.0,"t_ideal_lo t_ideal_hi t_tol_hi rh_ideal_lo wind_ideal_max wind_tol_max","NHB Banana (nhb.gov.in/pdf/fruits/banana/ban012.pdf): 15–35°C grow well; mean ~27°C optimal; RH 75–85%; strong wind >4 m/s causes pseudostem lodging – windbreaks desirable. FAO Banana (fao.org/land-water/banana): RH ≥60% minimum; mean 27°C optimal. ITFNet Banana agronomy: tol_lo 15°C; tol_hi ~38°C (above which growth severely checked). Springer shade-net study (2025, s44372-025-00335-9): up to 30% shade tolerated with minimal yield loss."
